user,message,game,toxicity,keywords,location
Wertz,du ma?,Counter-Strike,True,"['du', 'ma']",Southeast Asia
kwangyy,troi oi!,Counter-Strike,False,"['troi', 'oi']",Southeast Asia
Wertz,how many nguyens we got in this server,Counter-Strike,True,['nguyen'],Southeast Asia
có thôi lời,gl hf,Counter-Strike,False,"['gl', 'hf']",Southeast Asia
Wertz,over under 3.5,Counter-Strike,False,[],Southeast Asia
N.O.O.B.G.U.Y.,We should save,Counter-Strike,False,['save'],Southeast Asia
STORM,Yes,Counter-Strike,False,[],Southeast Asia
ky1n,????,Counter-Strike,False,[],Southeast Asia
kwangyy,interesting,Counter-Strike,False,[],Southeast Asia
minibot,lol,Counter-Strike,False,[],Southeast Asia
Anh Ba Chà Cố,Fuck off,Counter-Strike,True,[],Southeast Asia
kwangyy,???,Counter-Strike,False,[],Southeast Asia
Artyom,ez,Counter-Strike,False,[],Southeast Asia
Artyom,goat,Counter-Strike,False,['goat'],Southeast Asia
kwangyy,nice,Counter-Strike,False,[],Southeast Asia
Harpoon,gg,Counter-Strike,False,['gg'],Southeast Asia
Insanitykiller,noob,Counter-Strike,True,['noob'],Southeast Asia
JessicaKP,gg,Counter-Strike,False,['gg'],Southeast Asia
kwangyy,gg,Counter-Strike,False,['gg'],Southeast Asia
Qpikcuuw,gbu fk u all,Counter-Strike,True,"['gbu', 'fk']",Southeast Asia
fontannes.d.c,hbd,Counter-Strike,False,['hbd'],Southeast Asia
wuannxii..,nt,Counter-Strike,False,[],Southeast Asia
Kattis,gh,Counter-Strike,False,['gh'],Southeast Asia
fontannes.d.c,MAKASIH BANG,Counter-Strike,False,['MAKASIH'],Southeast Asia
kwangyy,PLANTING!,Counter-Strike,False,[],Southeast Asia
wuannxii..,PLANTING!,Counter-Strike,False,[],Southeast Asia
ráf,GG,Counter-Strike,False,['GG'],Southeast Asia
Qpikcuuw,GG LAH MASAK ENGGA,Counter-Strike,False,"['GG', 'MASAK', 'ENGGA']",Southeast Asia
Kattis,gg,Counter-Strike,False,['gg'],Southeast Asia
Kattis,DEFUSING!,Counter-Strike,False,[],Southeast Asia
Kattis,can we like,Counter-Strike,False,[],Southeast Asia
Kattis,start playing like a team,Counter-Strike,False,[],Southeast Asia
Kattis,y'all are not HIM,Counter-Strike,False,[],Southeast Asia
J18,everything also need explanation,League of Legends,False,[],Southeast Asia
shrive,lmao,League of Legends,False,['lmao'],Southeast Asia
shrive,stfu ite dog,League of Legends,True,['ite'],Southeast Asia
shrive,im in mensa,League of Legends,False,['mensa'],Southeast Asia
shrive,?,League of Legends,False,[],Southeast Asia
shrive,low iq,League of Legends,True,[],Southeast Asia
J18,LOL,League of Legends,False,['LOL'],Southeast Asia
Yokai.Raijuu,yawn,Marvel Rivals,False,['yawn'],Southeast Asia
Yokai.Raijuu,get a life lil bro,Marvel Rivals,True,[],Southeast Asia
iszal,you tell em,Marvel Rivals,False,[],Southeast Asia
HilmGeo,abang jik,Marvel Rivals,False,[],Southeast Asia
RUR-5 ASROC,spidey sit,Marvel Rivals,False,['spidey'],Southeast Asia
RUR-5 ASROC,losing 1v1 to cd??,Marvel Rivals,False,"['losing', '1v1', 'cd']",Southeast Asia
Nafizzzy,ignore everyone on this as teammate,Marvel Rivals,False,[],Southeast Asia
haakmal,hawkeye,Marvel Rivals,False,['hawkeye'],Southeast Asia
haakmal,peeeeeeyuuuu,Marvel Rivals,False,[],Southeast Asia
RUR-5 ASROC,god damn,Marvel Rivals,False,[],Southeast Asia
Illum1ne,hawkeye aimbots is free,Marvel Rivals,True,"['hawkeye', 'aimbots']",Southeast Asia
RUR-5 ASROC,what are these damage numbers,Marvel Rivals,False,[],Southeast Asia
haakmal,Need Healing! On critical health!,Marvel Rivals,False,[],Southeast Asia
haakmal,nt,Marvel Rivals,False,[],Southeast Asia
Cl1nkZ,thanks bbg,Marvel Rivals,False,[],Southeast Asia
haakmal,:D,Marvel Rivals,False,[],Southeast Asia
kwangyy,gg,Marvel Rivals,False,['gg'],Southeast Asia
zacharoo77,what a great team,Marvel Rivals,False,[],Southeast Asia
zacharoo77,love,Marvel Rivals,False,[],Southeast Asia
haakmal,dont play C and D :D,Marvel Rivals,False,[],Southeast Asia
