word,meaning
puki,vulgar term for vagina
babi,pig; insult implying someone is dirty or lowly
lanjiao,penis (hokkien); very crude
lj,penis (hokkien); very crude
cheebai,vagina; vulgar term
jibai,vagina; vulgar term
cb,short for 'cheebai' (vagina); very vulgar
kanina,fuck your mother (hokkien); extremely offensive
knn, fuck your mother (hokkien); extremely offensive
kontol,penis; crude insult
anjing,dog; used to call someone despicable
ngentot,to fuck; harsh insult
jembut,pubic hair; vulgar term
putangina,your mother's a wh*re; extremely vulgar
gago,idiot or stupid person
leche,damn; mild curse expressing frustration
bobo,dumb or unintelligent
du ma,fuck your mother; very vulgar
cac,dick; extremely crude
nguyen, signifying a person from Vietnam; usually used as an insult
dit me,another form of fuck your mother
co cho,dog; derogatory term
djt me may,fuck your mom or you; vulgar insult
troi oi, oh my god
hee,vagina; extremely rude
hia,bastard or jerk
sat,animal; used as an insult
kwai,buffalo; insult for someone stupid
mae mueang,your mother; rude insult
pauk,penis
mee thu,bastard
myin,horse; used to call someone stupid
kyet,chicken; mocking term
ma le,slut
