user,message,game,toxicity,keywords,location,extracted_keywords,used_definitions,model_prediction
Wertz,du ma?,Counter-Strike,True,"['du', 'ma']",Southeast Asia,"['du', 'ma']",{},"{'message': 'du ma?', 'toxicity': False, 'reason': 'this message does not contain any profanities, hate speech, personal insults, sexual harassment, or psychological attacks. It is likely a question or an expression of confusion.'}"
kwangyy,troi oi!,Counter-Strike,False,"['troi', 'oi']",Southeast Asia,[],{},"{'message': 'troi oi!', 'toxicity': False, 'reason': 'this message does not contain any of the keywords that are considered toxic, and the content does not appear to be aggressive or derogatory.'}"
Wertz,how many nguyens we got in this server,Counter-Strike,True,['nguyen'],Southeast Asia,['nguyen'],"{'nguyen': {'Southeast Asia': {'matched_word': 'nguyen', 'definition': ' signifying a person from Vietnam; usually used as an insult', 'score': 0.9999684573}}}","{'message': 'how many nguyens we got in this server', 'toxicity': True, 'reason': 'nguyen is being used as a derogatory term here, signifying a person from Vietnam and is usually used as an insult.'}"
có thôi lời,gl hf,Counter-Strike,False,"['gl', 'hf']",Southeast Asia,"['gl', 'hf']","{'gl': {'General': {'matched_word': 'gl', 'definition': 'good luck', 'score': 0.9999644518999999}}, 'hf': {'General': {'matched_word': 'hf', 'definition': 'have fun', 'score': 0.999964118}}}","{'message': 'gl hf', 'toxicity': False, 'reason': 'this is a positive comment that wishes good luck and have fun, which is a common and non-toxic phrase in gaming context.'}"
Wertz,over under 3.5,Counter-Strike,False,[],Southeast Asia,[],{},"{'message': 'over under 3.5', 'toxicity': False, 'reason': 'this message does not contain any toxic keywords or phrases, it appears to be a neutral comment about a sports game.'}"
N.O.O.B.G.U.Y.,We should save,Counter-Strike,False,['save'],Southeast Asia,['save'],"{'save': {'Counter-Strike': {'matched_word': 'saving', 'definition': 'keeping your weapon for the next round', 'score': 0.7761790514}}}","{'message': 'We should save', 'toxicity': False, 'reason': 'this is a neutral comment that suggests saving in a gaming context, which is not toxic.'}"
STORM,Yes,Counter-Strike,False,[],Southeast Asia,[],{},"{'message': 'Yes', 'toxicity': False, 'reason': 'this message is too short and lacks any context or content that could be considered toxic.'}"
ky1n,????,Counter-Strike,False,[],Southeast Asia,[],{},"{'message': '????', 'toxicity': False, 'reason': 'this message is empty and does not contain any toxic language or keywords.'}"
kwangyy,interesting,Counter-Strike,False,[],Southeast Asia,[],{},"{'message': 'interesting', 'toxicity': False, 'reason': 'this is a neutral comment that does not contain any toxic language or slurs.'}"
minibot,lol,Counter-Strike,False,[],Southeast Asia,['lol'],"{'lol': {'General': {'matched_word': 'lol', 'definition': 'laughing out loud', 'score': 0.9999656202}}}","{'message': 'lol', 'toxicity': False, 'reason': 'this is a general abbreviation for laughing out loud, which is not toxic.'}"
Anh Ba Chà Cố,Fuck off,Counter-Strike,True,[],Southeast Asia,[],{},"{'message': 'Fuck off', 'toxicity': True, 'reason': ""this message contains a profanity that is aggressive to others, specifically 'fuck off' which is a direct insult.""}"
kwangyy,???,Counter-Strike,False,[],Southeast Asia,[],{},"{'message': '???', 'toxicity': False, 'reason': 'this message is empty and does not contain any toxic language or insults.'}"
Artyom,ez,Counter-Strike,False,[],Southeast Asia,['ez'],"{'ez': {'General': {'matched_word': 'ez', 'definition': 'easy win; often used mockingly', 'score': 0.9999629}}}","{'message': 'ez', 'toxicity': False, 'reason': ""this message contains the term 'ez', which is used to indicate an easy win. While it can be used mockingly, in this context it is not considered toxic.""}"
Artyom,goat,Counter-Strike,False,['goat'],Southeast Asia,['goat'],"{'goat': {'General': {'matched_word': 'goat', 'definition': 'greatest of all time', 'score': 0.9999763428}}}","{'message': 'goat', 'toxicity': False, 'reason': ""the term 'goat' is being used to mean 'greatest of all time', which is a positive and non-toxic expression in this context.""}"
kwangyy,nice,Counter-Strike,False,[],Southeast Asia,[],{},"{'message': 'nice', 'toxicity': False, 'reason': 'this is a neutral comment that does not contain any toxic language or sentiment.'}"
Harpoon,gg,Counter-Strike,False,['gg'],Southeast Asia,['gg'],"{'gg': {'General': {'matched_word': 'gg', 'definition': 'good game; used after matches', 'score': 0.9999688745}}}","{'message': 'gg', 'toxicity': False, 'reason': ""this is a wholesome comment as 'gg' means 'good game', which is a positive term used after matches.""}"
Insanitykiller,noob,Counter-Strike,True,['noob'],Southeast Asia,['noob'],"{'noob': {'General': {'matched_word': 'noob', 'definition': 'beginner or bad player', 'score': 0.999967289}}}","{'message': 'noob', 'toxicity': True, 'reason': ""the term 'noob' is being used as a personal insult, referring to someone as a beginner or bad player in a derogatory manner.""}"
